object,nobs,first_detection,last_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF21abtyqrc,2,2021-08-16T11:27:00.999Z,2021-08-20T11:07:38.997Z,2,TOM,2021-08-20T14:48:28.152Z,2021-08-22T14:52:18.178Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abtyqrc
ZTF21abujejr,5,2021-08-20T06:43:21.002Z,2021-08-22T06:05:15.999Z,2,TOM,2021-08-20T14:37:34.305Z,2021-08-22T14:51:36.481Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abujejr
ZTF21abtzcef,7,2021-08-16T11:59:43.998Z,2021-08-17T12:05:11.999Z,3,TOM,2021-08-16T14:53:38.654Z,2021-08-22T14:51:31.984Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abtzcef
ZTF21abutvhu,2,2021-08-21T04:22:48.000Z,2021-08-21T05:26:54.000Z,3,TOM,2021-08-21T13:55:09.617Z,2021-08-21T17:07:09.953Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abutvhu
ZTF21abujgmr,2,2021-08-16T06:50:05.000Z,2021-08-21T05:50:01.999Z,2,TOM,2021-08-21T15:31:34.413Z,2021-08-21T17:06:51.475Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abujgmr
ZTF21abutpwh,3,2021-08-17T04:25:58.995Z,2021-08-21T04:55:37.004Z,2,TOM,2021-08-21T15:31:20.331Z,2021-08-21T17:06:40.275Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abutpwh
ZTF21abtxxpd,3,2021-08-16T10:48:31.000Z,2021-08-20T11:07:38.997Z,2,TOM,2021-08-16T15:05:10.748Z,2021-08-21T17:06:34.044Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abtxxpd
ZTF21abuljqs,3,2021-08-16T10:12:08.000Z,2021-08-20T11:21:57.000Z,2,TOM,2021-08-20T14:40:31.252Z,2021-08-21T17:06:25.346Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abuljqs
ZTF21abulsgn,5,2021-08-20T11:45:40.000Z,2021-08-20T12:00:08.000Z,3,TOM,2021-08-20T12:24:45.306Z,2021-08-21T17:06:15.102Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abulsgn
